date,complaint_type,borough,request_count,temp_max_c,temp_min_c,temp_mean_c,prcp_mm,snow_mm,prcp_measurement_flag,prcp_quality_flag,prcp_source_flag,prcp_observation_time
2022-01-01,Air Quality,MANHATTAN,5,13.3,10.0,11.65,20.1,0.0,none,none,W,2400
2022-01-01,Air Quality,QUEENS,2,13.3,10.0,11.65,20.1,0.0,none,none,W,2400
2022-01-01,HEAT/HOT WATER,BRONX,164,13.3,10.0,11.65,20.1,0.0,none,none,W,2400
2022-01-01,HEAT/HOT WATER,BROOKLYN,114,13.3,10.0,11.65,20.1,0.0,none,none,W,2400
2022-01-01,HEAT/HOT WATER,MANHATTAN,114,13.3,10.0,11.65,20.1,0.0,none,none,W,2400
2022-01-01,HEAT/HOT WATER,QUEENS,50,13.3,10.0,11.65,20.1,0.0,none,none,W,2400
2022-01-01,HEAT/HOT WATER,STATEN ISLAND,2,13.3,10.0,11.65,20.1,0.0,none,none,W,2400
2022-01-01,Noise - Street/Sidewalk,BRONX,104,13.3,10.0,11.65,20.1,0.0,none,none,W,2400
2022-01-01,Noise - Street/Sidewalk,BROOKLYN,83,13.3,10.0,11.65,20.1,0.0,none,none,W,2400
2022-01-01,Noise - Street/Sidewalk,MANHATTAN,170,13.3,10.0,11.65,20.1,0.0,none,none,W,2400
2022-01-01,Noise - Street/Sidewalk,QUEENS,151,13.3,10.0,11.65,20.1,0.0,none,none,W,2400
2022-01-01,Noise - Street/Sidewalk,STATEN ISLAND,6,13.3,10.0,11.65,20.1,0.0,none,none,W,2400
2022-01-01,Sewer,BRONX,2,13.3,10.0,11.65,20.1,0.0,none,none,W,2400
2022-01-01,Sewer,BROOKLYN,26,13.3,10.0,11.65,20.1,0.0,none,none,W,2400
2022-01-01,Sewer,MANHATTAN,1,13.3,10.0,11.65,20.1,0.0,none,none,W,2400
2022-01-01,Sewer,QUEENS,22,13.3,10.0,11.65,20.1,0.0,none,none,W,2400
2022-01-01,Sewer,STATEN ISLAND,9,13.3,10.0,11.65,20.1,0.0,none,none,W,2400
2022-01-01,Street Condition,BRONX,2,13.3,10.0,11.65,20.1,0.0,none,none,W,2400
2022-01-01,Street Condition,BROOKLYN,10,13.3,10.0,11.65,20.1,0.0,none,none,W,2400
2022-01-01,Street Condition,MANHATTAN,8,13.3,10.0,11.65,20.1,0.0,none,none,W,2400
2022-01-01,Street Condition,QUEENS,16,13.3,10.0,11.65,20.1,0.0,none,none,W,2400
2022-01-01,Street Condition,STATEN ISLAND,5,13.3,10.0,11.65,20.1,0.0,none,none,W,2400
2022-01-02,Air Quality,BRONX,1,15.0,2.8,8.9,1.0,0.0,none,none,W,2400
2022-01-02,Air Quality,MANHATTAN,3,15.0,2.8,8.9,1.0,0.0,none,none,W,2400
2022-01-02,Air Quality,QUEENS,7,15.0,2.8,8.9,1.0,0.0,none,none,W,2400
2022-01-02,HEAT/HOT WATER,BRONX,259,15.0,2.8,8.9,1.0,0.0,none,none,W,2400
2022-01-02,HEAT/HOT WATER,BROOKLYN,205,15.0,2.8,8.9,1.0,0.0,none,none,W,2400
2022-01-02,HEAT/HOT WATER,MANHATTAN,166,15.0,2.8,8.9,1.0,0.0,none,none,W,2400
2022-01-02,HEAT/HOT WATER,QUEENS,77,15.0,2.8,8.9,1.0,0.0,none,none,W,2400
2022-01-02,HEAT/HOT WATER,STATEN ISLAND,8,15.0,2.8,8.9,1.0,0.0,none,none,W,2400
2022-01-02,Noise - Street/Sidewalk,BRONX,23,15.0,2.8,8.9,1.0,0.0,none,none,W,2400
2022-01-02,Noise - Street/Sidewalk,BROOKLYN,40,15.0,2.8,8.9,1.0,0.0,none,none,W,2400
2022-01-02,Noise - Street/Sidewalk,MANHATTAN,85,15.0,2.8,8.9,1.0,0.0,none,none,W,2400
2022-01-02,Noise - Street/Sidewalk,QUEENS,34,15.0,2.8,8.9,1.0,0.0,none,none,W,2400
2022-01-02,Noise - Street/Sidewalk,STATEN ISLAND,2,15.0,2.8,8.9,1.0,0.0,none,none,W,2400
2022-01-02,Sewer,BRONX,8,15.0,2.8,8.9,1.0,0.0,none,none,W,2400
2022-01-02,Sewer,BROOKLYN,19,15.0,2.8,8.9,1.0,0.0,none,none,W,2400
2022-01-02,Sewer,MANHATTAN,1,15.0,2.8,8.9,1.0,0.0,none,none,W,2400
2022-01-02,Sewer,QUEENS,36,15.0,2.8,8.9,1.0,0.0,none,none,W,2400
2022-01-02,Sewer,STATEN ISLAND,21,15.0,2.8,8.9,1.0,0.0,none,none,W,2400
2022-01-02,Street Condition,BRONX,24,15.0,2.8,8.9,1.0,0.0,none,none,W,2400
2022-01-02,Street Condition,BROOKLYN,55,15.0,2.8,8.9,1.0,0.0,none,none,W,2400
2022-01-02,Street Condition,MANHATTAN,9,15.0,2.8,8.9,1.0,0.0,none,none,W,2400
2022-01-02,Street Condition,QUEENS,41,15.0,2.8,8.9,1.0,0.0,none,none,W,2400
2022-01-02,Street Condition,STATEN ISLAND,7,15.0,2.8,8.9,1.0,0.0,none,none,W,2400
2022-01-03,Air Quality,BRONX,1,2.8,-5.5,-1.35,0.0,0.0,none,none,W,2400
2022-01-03,Air Quality,BROOKLYN,4,2.8,-5.5,-1.35,0.0,0.0,none,none,W,2400
2022-01-03,Air Quality,MANHATTAN,38,2.8,-5.5,-1.35,0.0,0.0,none,none,W,2400
2022-01-03,Air Quality,QUEENS,10,2.8,-5.5,-1.35,0.0,0.0,none,none,W,2400
2022-01-03,HEAT/HOT WATER,BRONX,851,2.8,-5.5,-1.35,0.0,0.0,none,none,W,2400
2022-01-03,HEAT/HOT WATER,BROOKLYN,635,2.8,-5.5,-1.35,0.0,0.0,none,none,W,2400
2022-01-03,HEAT/HOT WATER,MANHATTAN,399,2.8,-5.5,-1.35,0.0,0.0,none,none,W,2400
2022-01-03,HEAT/HOT WATER,QUEENS,287,2.8,-5.5,-1.35,0.0,0.0,none,none,W,2400
2022-01-03,HEAT/HOT WATER,STATEN ISLAND,23,2.8,-5.5,-1.35,0.0,0.0,none,none,W,2400
2022-01-03,Noise - Street/Sidewalk,BRONX,7,2.8,-5.5,-1.35,0.0,0.0,none,none,W,2400
2022-01-03,Noise - Street/Sidewalk,BROOKLYN,12,2.8,-5.5,-1.35,0.0,0.0,none,none,W,2400
2022-01-03,Noise - Street/Sidewalk,MANHATTAN,27,2.8,-5.5,-1.35,0.0,0.0,none,none,W,2400
