request_date,complaint_type,borough,request_count
2022-01-01T00:00:00.000,Air Quality,MANHATTAN,5
2022-01-01T00:00:00.000,Air Quality,QUEENS,2
2022-01-01T00:00:00.000,HEAT/HOT WATER,BRONX,164
2022-01-01T00:00:00.000,HEAT/HOT WATER,BROOKLYN,114
2022-01-01T00:00:00.000,HEAT/HOT WATER,MANHATTAN,114
2022-01-01T00:00:00.000,HEAT/HOT WATER,QUEENS,50
2022-01-01T00:00:00.000,HEAT/HOT WATER,STATEN ISLAND,2
2022-01-01T00:00:00.000,Noise - Street/Sidewalk,BRONX,104
2022-01-01T00:00:00.000,Noise - Street/Sidewalk,BROOKLYN,83
2022-01-01T00:00:00.000,Noise - Street/Sidewalk,MANHATTAN,170
2022-01-01T00:00:00.000,Noise - Street/Sidewalk,QUEENS,151
2022-01-01T00:00:00.000,Noise - Street/Sidewalk,STATEN ISLAND,6
2022-01-01T00:00:00.000,Sewer,BRONX,2
2022-01-01T00:00:00.000,Sewer,BROOKLYN,26
2022-01-01T00:00:00.000,Sewer,MANHATTAN,1
2022-01-01T00:00:00.000,Sewer,QUEENS,22
2022-01-01T00:00:00.000,Sewer,STATEN ISLAND,9
2022-01-01T00:00:00.000,Street Condition,BRONX,2
2022-01-01T00:00:00.000,Street Condition,BROOKLYN,10
2022-01-01T00:00:00.000,Street Condition,MANHATTAN,8
2022-01-01T00:00:00.000,Street Condition,QUEENS,16
2022-01-01T00:00:00.000,Street Condition,STATEN ISLAND,5
2022-01-02T00:00:00.000,Air Quality,BRONX,1
2022-01-02T00:00:00.000,Air Quality,MANHATTAN,3
2022-01-02T00:00:00.000,Air Quality,QUEENS,7
2022-01-02T00:00:00.000,HEAT/HOT WATER,BRONX,259
2022-01-02T00:00:00.000,HEAT/HOT WATER,BROOKLYN,205
2022-01-02T00:00:00.000,HEAT/HOT WATER,MANHATTAN,166
2022-01-02T00:00:00.000,HEAT/HOT WATER,QUEENS,77
2022-01-02T00:00:00.000,HEAT/HOT WATER,STATEN ISLAND,8
2022-01-02T00:00:00.000,Noise - Street/Sidewalk,BRONX,23
2022-01-02T00:00:00.000,Noise - Street/Sidewalk,BROOKLYN,40
2022-01-02T00:00:00.000,Noise - Street/Sidewalk,MANHATTAN,85
2022-01-02T00:00:00.000,Noise - Street/Sidewalk,QUEENS,34
2022-01-02T00:00:00.000,Noise - Street/Sidewalk,STATEN ISLAND,2
2022-01-02T00:00:00.000,Sewer,BRONX,8
2022-01-02T00:00:00.000,Sewer,BROOKLYN,19
2022-01-02T00:00:00.000,Sewer,MANHATTAN,1
2022-01-02T00:00:00.000,Sewer,QUEENS,36
2022-01-02T00:00:00.000,Sewer,STATEN ISLAND,21
2022-01-02T00:00:00.000,Street Condition,BRONX,24
2022-01-02T00:00:00.000,Street Condition,BROOKLYN,55
2022-01-02T00:00:00.000,Street Condition,MANHATTAN,9
2022-01-02T00:00:00.000,Street Condition,QUEENS,41
2022-01-02T00:00:00.000,Street Condition,STATEN ISLAND,7
2022-01-03T00:00:00.000,Air Quality,BRONX,1
2022-01-03T00:00:00.000,Air Quality,BROOKLYN,4
2022-01-03T00:00:00.000,Air Quality,MANHATTAN,38
2022-01-03T00:00:00.000,Air Quality,QUEENS,10
2022-01-03T00:00:00.000,HEAT/HOT WATER,BRONX,851
2022-01-03T00:00:00.000,HEAT/HOT WATER,BROOKLYN,635
2022-01-03T00:00:00.000,HEAT/HOT WATER,MANHATTAN,399
2022-01-03T00:00:00.000,HEAT/HOT WATER,QUEENS,287
2022-01-03T00:00:00.000,HEAT/HOT WATER,STATEN ISLAND,23
2022-01-03T00:00:00.000,Noise - Street/Sidewalk,BRONX,7
2022-01-03T00:00:00.000,Noise - Street/Sidewalk,BROOKLYN,12
2022-01-03T00:00:00.000,Noise - Street/Sidewalk,MANHATTAN,27
2022-01-03T00:00:00.000,Noise - Street/Sidewalk,QUEENS,8
2022-01-03T00:00:00.000,Sewer,BRONX,8
2022-01-03T00:00:00.000,Sewer,BROOKLYN,20
2022-01-03T00:00:00.000,Sewer,MANHATTAN,5
2022-01-03T00:00:00.000,Sewer,QUEENS,23
2022-01-03T00:00:00.000,Sewer,STATEN ISLAND,15
2022-01-03T00:00:00.000,Sewer,Unspecified,1
2022-01-03T00:00:00.000,Street Condition,BRONX,33
2022-01-03T00:00:00.000,Street Condition,BROOKLYN,48
2022-01-03T00:00:00.000,Street Condition,MANHATTAN,27
2022-01-03T00:00:00.000,Street Condition,QUEENS,93
2022-01-03T00:00:00.000,Street Condition,STATEN ISLAND,13
2022-01-04T00:00:00.000,Air Quality,BROOKLYN,6
2022-01-04T00:00:00.000,Air Quality,MANHATTAN,41
2022-01-04T00:00:00.000,Air Quality,QUEENS,9
2022-01-04T00:00:00.000,HEAT/HOT WATER,BRONX,836
2022-01-04T00:00:00.000,HEAT/HOT WATER,BROOKLYN,637
2022-01-04T00:00:00.000,HEAT/HOT WATER,MANHATTAN,493
2022-01-04T00:00:00.000,HEAT/HOT WATER,QUEENS,349
2022-01-04T00:00:00.000,HEAT/HOT WATER,STATEN ISLAND,30
2022-01-04T00:00:00.000,Noise - Street/Sidewalk,BRONX,7
2022-01-04T00:00:00.000,Noise - Street/Sidewalk,BROOKLYN,17
2022-01-04T00:00:00.000,Noise - Street/Sidewalk,MANHATTAN,30
2022-01-04T00:00:00.000,Noise - Street/Sidewalk,QUEENS,5
2022-01-04T00:00:00.000,Sewer,BRONX,10
2022-01-04T00:00:00.000,Sewer,BROOKLYN,14
2022-01-04T00:00:00.000,Sewer,MANHATTAN,2
2022-01-04T00:00:00.000,Sewer,QUEENS,24
2022-01-04T00:00:00.000,Sewer,STATEN ISLAND,10
2022-01-04T00:00:00.000,Street Condition,BRONX,28
2022-01-04T00:00:00.000,Street Condition,BROOKLYN,74
2022-01-04T00:00:00.000,Street Condition,MANHATTAN,18
2022-01-04T00:00:00.000,Street Condition,QUEENS,81
2022-01-04T00:00:00.000,Street Condition,STATEN ISLAND,47
2022-01-04T00:00:00.000,Street Condition,Unspecified,1
2022-01-05T00:00:00.000,Air Quality,BRONX,1
2022-01-05T00:00:00.000,Air Quality,BROOKLYN,1
2022-01-05T00:00:00.000,Air Quality,MANHATTAN,32
2022-01-05T00:00:00.000,Air Quality,QUEENS,5
2022-01-05T00:00:00.000,Air Quality,STATEN ISLAND,1
2022-01-05T00:00:00.000,HEAT/HOT WATER,BRONX,493
2022-01-05T00:00:00.000,HEAT/HOT WATER,BROOKLYN,343
2022-01-05T00:00:00.000,HEAT/HOT WATER,MANHATTAN,262
2022-01-05T00:00:00.000,HEAT/HOT WATER,QUEENS,154
2022-01-05T00:00:00.000,HEAT/HOT WATER,STATEN ISLAND,16
2022-01-05T00:00:00.000,Noise - Street/Sidewalk,BRONX,9
2022-01-05T00:00:00.000,Noise - Street/Sidewalk,BROOKLYN,25
2022-01-05T00:00:00.000,Noise - Street/Sidewalk,MANHATTAN,37
2022-01-05T00:00:00.000,Noise - Street/Sidewalk,QUEENS,4
2022-01-05T00:00:00.000,Sewer,BRONX,5
2022-01-05T00:00:00.000,Sewer,BROOKLYN,13
2022-01-05T00:00:00.000,Sewer,MANHATTAN,9
2022-01-05T00:00:00.000,Sewer,QUEENS,29
2022-01-05T00:00:00.000,Sewer,STATEN ISLAND,4
2022-01-05T00:00:00.000,Street Condition,BRONX,14
2022-01-05T00:00:00.000,Street Condition,BROOKLYN,63
2022-01-05T00:00:00.000,Street Condition,MANHATTAN,30
2022-01-05T00:00:00.000,Street Condition,QUEENS,56
2022-01-05T00:00:00.000,Street Condition,STATEN ISLAND,47
2022-01-06T00:00:00.000,Air Quality,BROOKLYN,2
2022-01-06T00:00:00.000,Air Quality,MANHATTAN,32
2022-01-06T00:00:00.000,Air Quality,QUEENS,10
2022-01-06T00:00:00.000,HEAT/HOT WATER,BRONX,401
2022-01-06T00:00:00.000,HEAT/HOT WATER,BROOKLYN,317
2022-01-06T00:00:00.000,HEAT/HOT WATER,MANHATTAN,239
2022-01-06T00:00:00.000,HEAT/HOT WATER,QUEENS,162
2022-01-06T00:00:00.000,HEAT/HOT WATER,STATEN ISLAND,19
2022-01-06T00:00:00.000,Noise - Street/Sidewalk,BRONX,11
2022-01-06T00:00:00.000,Noise - Street/Sidewalk,BROOKLYN,27
2022-01-06T00:00:00.000,Noise - Street/Sidewalk,MANHATTAN,38
2022-01-06T00:00:00.000,Noise - Street/Sidewalk,QUEENS,11
2022-01-06T00:00:00.000,Noise - Street/Sidewalk,STATEN ISLAND,1
2022-01-06T00:00:00.000,Sewer,BRONX,6
2022-01-06T00:00:00.000,Sewer,BROOKLYN,13
2022-01-06T00:00:00.000,Sewer,MANHATTAN,3
2022-01-06T00:00:00.000,Sewer,QUEENS,16
2022-01-06T00:00:00.000,Sewer,STATEN ISLAND,4
2022-01-06T00:00:00.000,Street Condition,BRONX,10
2022-01-06T00:00:00.000,Street Condition,BROOKLYN,31
2022-01-06T00:00:00.000,Street Condition,MANHATTAN,21
2022-01-06T00:00:00.000,Street Condition,QUEENS,31
2022-01-06T00:00:00.000,Street Condition,STATEN ISLAND,9
2022-01-07T00:00:00.000,Air Quality,BRONX,2
2022-01-07T00:00:00.000,Air Quality,BROOKLYN,1
2022-01-07T00:00:00.000,Air Quality,MANHATTAN,21
2022-01-07T00:00:00.000,Air Quality,QUEENS,5
2022-01-07T00:00:00.000,HEAT/HOT WATER,BRONX,516
2022-01-07T00:00:00.000,HEAT/HOT WATER,BROOKLYN,383
2022-01-07T00:00:00.000,HEAT/HOT WATER,MANHATTAN,291
2022-01-07T00:00:00.000,HEAT/HOT WATER,QUEENS,196
2022-01-07T00:00:00.000,HEAT/HOT WATER,STATEN ISLAND,18
2022-01-07T00:00:00.000,Noise - Street/Sidewalk,BRONX,13
2022-01-07T00:00:00.000,Noise - Street/Sidewalk,BROOKLYN,13
2022-01-07T00:00:00.000,Noise - Street/Sidewalk,MANHATTAN,52
2022-01-07T00:00:00.000,Noise - Street/Sidewalk,QUEENS,6
2022-01-07T00:00:00.000,Noise - Street/Sidewalk,STATEN ISLAND,1
2022-01-07T00:00:00.000,Sewer,BRONX,14
2022-01-07T00:00:00.000,Sewer,BROOKLYN,13
